DATAFLOW,LAST UPDATE,freq,product,currency,unit,indic_en,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2011,0.2528,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2012,0.2595,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2013,0.2919,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2014,0.2981,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2015,0.2951,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2016,0.2969,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2017,0.3048,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2018,0.2987,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2019,0.3088,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2020,0.3043,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2021,0.3193,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,DE,2022,0.3279,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2011,0.1981,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2012,0.219,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2013,0.2228,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2014,0.2165,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2015,0.2309,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2016,0.2185,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2017,0.2296,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2018,0.2383,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2019,0.2403,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2020,0.2239,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2021,0.2323,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,ES,2022,0.3071,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2011,0.1858,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2012,0.1916,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2013,0.2042,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2014,0.2058,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2015,0.2083,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2016,0.2051,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2017,0.2086,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2018,0.2100,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2019,0.2168,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2020,0.2131,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2021,0.2203,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,EU27_2020,2022,0.2525,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2011,0.1383,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2012,0.1392,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2013,0.1524,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2014,0.1585,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2015,0.1676,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2016,0.1685,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2017,0.1704,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2018,0.1748,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2019,0.1778,
ESTAT:TEN00117(1.0),25/04/24 11:00:00,A,6000,EUR,KWH,MSHH,FR,2020,0.1893,
