DATAFLOW;LAST UPDATE;freq;nrg_bal;siec;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2000;6195161;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2001;5208279;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2002;7280692;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2003;6011843;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2004;6145711;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2005;6986948;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2006;7759214;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2007;9121268;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2008;12132612;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2009;10190342;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2010;11018784;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2011;11195906;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2012;13570901;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2013;13690240;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2014;18187985;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2015;16328275;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2016;16298114;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2017;17457964;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2018;17363786;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2019;17454591;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2020;16445558;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2021;19580520;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;DE;2022;20846226;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2000;5890000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2001;4918874;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2002;4981441;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2003;5937500;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2004;7797917;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2005;4829167;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2006;8288750;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2007;14909141;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2008;17069990;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2009;10593338;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2010;12683313;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2011;10469855;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2012;15627264;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2013;5650984;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2014;9418482;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2015;8247705;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2016;4011513;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2017;2762040;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2018;3844869;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2019;11597349;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2020;14563281;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2021;5007657;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;ES;2022;10606256;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2000;312464343;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2001;312902138;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2002;303418073;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2003;281751991;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2004;290074432;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2005;268944289;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2006;292733767;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2007;265861510;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2008;236951859;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2009;216251397;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2010;235521505;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2011;201828768;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2012;207649348;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2013;223156116;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2014;216591631;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2015;197699146;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2016;194941433;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;EU27_2020;2017;168662346;
