DATAFLOW;LAST UPDATE;freq;product;currency;unit;indic_en;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2011;16.34;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2012;17.7;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2013;18.35;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2014;18.84;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2015;18.78;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2016;18.36;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2017;16.98;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2018;169.010;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2019;175.503;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2020;165.765;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2021;179.618;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;DE;2022;223.901;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;ES;2011;14.89;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;ES;2012;18.37;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;ES;2013;20.34;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;ES;2014;20.9;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;ES;2015;20.32;
ESTAT:TEN00118(1.0);19/6/24 23:00;A;4100;EUR;GJ_GCV;MSHH;ES;2016;18.82;
