time_period;country;data_type;energy_category;energy_product_class;costumer;energy_GWh;electricity_price_eur/kWh;gas_price_eur/GJ
2011;Germany;Electricity price;;;Medium size households;;0.2528;
2012;Germany;Electricity price;;;Medium size households;;0.2595;
2013;Germany;Electricity price;;;Medium size households;;0.2919;
2014;Germany;Electricity price;;;Medium size households;;0.2981;
2015;Germany;Electricity price;;;Medium size households;;0.2951;
2016;Germany;Electricity price;;;Medium size households;;0.2969;
2017;Germany;Electricity price;;;Medium size households;;0.3048;
2018;Germany;Electricity price;;;Medium size households;;0.2987;
2019;Germany;Electricity price;;;Medium size households;;0.3088;
2020;Germany;Electricity price;;;Medium size households;;0.3043;
2021;Germany;Electricity price;;;Medium size households;;0.3193;
2022;Germany;Electricity price;;;Medium size households;;0.3279;
2011;Spain;Electricity price;;;Medium size households;;0.1981;
2012;Spain;Electricity price;;;Medium size households;;0.219;
2013;Spain;Electricity price;;;Medium size households;;0.2228;
2014;Spain;Electricity price;;;Medium size households;;0.2165;
2015;Spain;Electricity price;;;Medium size households;;0.2309;
2016;Spain;Electricity price;;;Medium size households;;0.2185;
2017;Spain;Electricity price;;;Medium size households;;0.2296;
2018;Spain;Electricity price;;;Medium size households;;0.2383;
2019;Spain;Electricity price;;;Medium size households;;0.2403;
2020;Spain;Electricity price;;;Medium size households;;0.2239;
2021;Spain;Electricity price;;;Medium size households;;0.2323;
2022;Spain;Electricity price;;;Medium size households;;0.3071;
2011;France;Electricity price;;;Medium size households;;0.1383;
2012;France;Electricity price;;;Medium size households;;0.1392;
2013;France;Electricity price;;;Medium size households;;0.1524;
2014;France;Electricity price;;;Medium size households;;0.1585;
2015;France;Electricity price;;;Medium size households;;0.1676;
2016;France;Electricity price;;;Medium size households;;0.1685;
2017;France;Electricity price;;;Medium size households;;0.1704;
2018;France;Electricity price;;;Medium size households;;0.1748;
2019;France;Electricity price;;;Medium size households;;0.1778;
2020;France;Electricity price;;;Medium size households;;0.1893;
2021;France;Electricity price;;;Medium size households;;0.1946;
2022;France;Electricity price;;;Medium size households;;0.2092;
2011;Italy;Electricity price;;;Medium size households;;0.1987;
2012;Italy;Electricity price;;;Medium size households;;0.2132;
2013;Italy;Electricity price;;;Medium size households;;0.2292;
2014;Italy;Electricity price;;;Medium size households;;0.2446;
2015;Italy;Electricity price;;;Medium size households;;0.245;
2016;Italy;Electricity price;;;Medium size households;;0.2342;
2017;Italy;Electricity price;;;Medium size households;;0.2132;
2018;Italy;Electricity price;;;Medium size households;;0.2067;
2019;Italy;Electricity price;;;Medium size households;;0.2301;
2020;Italy;Electricity price;;;Medium size households;;0.2226;
2021;Italy;Electricity price;;;Medium size households;;0.2259;
2022;Italy;Electricity price;;;Medium size households;;0.3115;
2011;Portugal;Electricity price;;;Medium size households;;0.1654;
2012;Portugal;Electricity price;;;Medium size households;;0.1993;
2013;Portugal;Electricity price;;;Medium size households;;0.2081;
2014;Portugal;Electricity price;;;Medium size households;;0.2175;
2015;Portugal;Electricity price;;;Medium size households;;0.2279;
2016;Portugal;Electricity price;;;Medium size households;;0.235;
2017;Portugal;Electricity price;;;Medium size households;;0.2284;
2018;Portugal;Electricity price;;;Medium size households;;0.2246;
2019;Portugal;Electricity price;;;Medium size households;;0.215;
2020;Portugal;Electricity price;;;Medium size households;;0.212;
2021;Portugal;Electricity price;;;Medium size households;;0.2089;
2022;Portugal;Electricity price;;;Medium size households;;0.2199;
2011;Germany;Electricity price;;;Non-household, medium size consumers;;0.09;
2012;Germany;Electricity price;;;Non-household, medium size consumers;;0.0895;
2013;Germany;Electricity price;;;Non-household, medium size consumers;;0.086;
2014;Germany;Electricity price;;;Non-household, medium size consumers;;0.0844;
2015;Germany;Electricity price;;;Non-household, medium size consumers;;0.0809;
2016;Germany;Electricity price;;;Non-household, medium size consumers;;0.0788;
2017;Germany;Electricity price;;;Non-household, medium size consumers;;0.0761;
2018;Germany;Electricity price;;;Non-household, medium size consumers;;0.0771;
2019;Germany;Electricity price;;;Non-household, medium size consumers;;0.0855;
2020;Germany;Electricity price;;;Non-household, medium size consumers;;0.0849;
2021;Germany;Electricity price;;;Non-household, medium size consumers;;0.0908;
2022;Germany;Electricity price;;;Non-household, medium size consumers;;0.1512;
2011;Spain;Electricity price;;;Non-household, medium size consumers;;0.1082;
2012;Spain;Electricity price;;;Non-household, medium size consumers;;0.1155;
2013;Spain;Electricity price;;;Non-household, medium size consumers;;0.1165;
2014;Spain;Electricity price;;;Non-household, medium size consumers;;0.1185;
