time_period,geo_entity,category,energy_product_class,costumer,unit_of_measure,obs_value
2000,Germany,Exports,"Solid fossil fuels",NULL,GWh,6195161.000
2001,Germany,Exports,"Solid fossil fuels",NULL,GWh,5208279.000
2002,Germany,Exports,"Solid fossil fuels",NULL,GWh,7280692.000
2003,Germany,Exports,"Solid fossil fuels",NULL,GWh,6011843.000
2004,Germany,Exports,"Solid fossil fuels",NULL,GWh,6145711.000
2005,Germany,Exports,"Solid fossil fuels",NULL,GWh,6986948.000
2006,Germany,Exports,"Solid fossil fuels",NULL,GWh,7759214.000
2007,Germany,Exports,"Solid fossil fuels",NULL,GWh,9121268.000
2008,Germany,Exports,"Solid fossil fuels",NULL,GWh,12132612.000
2009,Germany,Exports,"Solid fossil fuels",NULL,GWh,10190342.000
2010,Germany,Exports,"Solid fossil fuels",NULL,GWh,11018784.000
2011,Germany,Exports,"Solid fossil fuels",NULL,GWh,11195906.000
2012,Germany,Exports,"Solid fossil fuels",NULL,GWh,13570901.000
2013,Germany,Exports,"Solid fossil fuels",NULL,GWh,13690240.000
2014,Germany,Exports,"Solid fossil fuels",NULL,GWh,18187985.000
2015,Germany,Exports,"Solid fossil fuels",NULL,GWh,16328275.000
2016,Germany,Exports,"Solid fossil fuels",NULL,GWh,16298114.000
2017,Germany,Exports,"Solid fossil fuels",NULL,GWh,17457964.000
2018,Germany,Exports,"Solid fossil fuels",NULL,GWh,17363786.000
2019,Germany,Exports,"Solid fossil fuels",NULL,GWh,17454591.000
2020,Germany,Exports,"Solid fossil fuels",NULL,GWh,16445558.000
2021,Germany,Exports,"Solid fossil fuels",NULL,GWh,19580520.000
2022,Germany,Exports,"Solid fossil fuels",NULL,GWh,20846226.000
2000,Spain,Exports,"Solid fossil fuels",NULL,GWh,5890000.000
2001,Spain,Exports,"Solid fossil fuels",NULL,GWh,4918874.000
2002,Spain,Exports,"Solid fossil fuels",NULL,GWh,4981441.000
2003,Spain,Exports,"Solid fossil fuels",NULL,GWh,5937500.000
2004,Spain,Exports,"Solid fossil fuels",NULL,GWh,7797917.000
2005,Spain,Exports,"Solid fossil fuels",NULL,GWh,4829167.000
2006,Spain,Exports,"Solid fossil fuels",NULL,GWh,8288750.000
2007,Spain,Exports,"Solid fossil fuels",NULL,GWh,14909141.000
2008,Spain,Exports,"Solid fossil fuels",NULL,GWh,17069990.000
2009,Spain,Exports,"Solid fossil fuels",NULL,GWh,10593338.000
2010,Spain,Exports,"Solid fossil fuels",NULL,GWh,12683313.000
2011,Spain,Exports,"Solid fossil fuels",NULL,GWh,10469855.000
2012,Spain,Exports,"Solid fossil fuels",NULL,GWh,15627264.000
2013,Spain,Exports,"Solid fossil fuels",NULL,GWh,5650984.000
2014,Spain,Exports,"Solid fossil fuels",NULL,GWh,9418482.000
2015,Spain,Exports,"Solid fossil fuels",NULL,GWh,8247705.000
2016,Spain,Exports,"Solid fossil fuels",NULL,GWh,4011513.000
2017,Spain,Exports,"Solid fossil fuels",NULL,GWh,2762040.000
2018,Spain,Exports,"Solid fossil fuels",NULL,GWh,3844869.000
2019,Spain,Exports,"Solid fossil fuels",NULL,GWh,11597349.000
2020,Spain,Exports,"Solid fossil fuels",NULL,GWh,14563281.000
2021,Spain,Exports,"Solid fossil fuels",NULL,GWh,5007657.000
2022,Spain,Exports,"Solid fossil fuels",NULL,GWh,10606256.000
2000,Europe,Exports,"Solid fossil fuels",NULL,GWh,312464343.000
2001,Europe,Exports,"Solid fossil fuels",NULL,GWh,312902138.000
2002,Europe,Exports,"Solid fossil fuels",NULL,GWh,303418073.000
2003,Europe,Exports,"Solid fossil fuels",NULL,GWh,281751991.000
2004,Europe,Exports,"Solid fossil fuels",NULL,GWh,290074432.000
2005,Europe,Exports,"Solid fossil fuels",NULL,GWh,268944289.000
2006,Europe,Exports,"Solid fossil fuels",NULL,GWh,292733767.000
2007,Europe,Exports,"Solid fossil fuels",NULL,GWh,265861510.000
2008,Europe,Exports,"Solid fossil fuels",NULL,GWh,236951859.000
2009,Europe,Exports,"Solid fossil fuels",NULL,GWh,216251397.000
2010,Europe,Exports,"Solid fossil fuels",NULL,GWh,235521505.000
2011,Europe,Exports,"Solid fossil fuels",NULL,GWh,201828768.000
2012,Europe,Exports,"Solid fossil fuels",NULL,GWh,207649348.000
2013,Europe,Exports,"Solid fossil fuels",NULL,GWh,223156116.000
2014,Europe,Exports,"Solid fossil fuels",NULL,GWh,216591631.000
2015,Europe,Exports,"Solid fossil fuels",NULL,GWh,197699146.000
2016,Europe,Exports,"Solid fossil fuels",NULL,GWh,194941433.000
2017,Europe,Exports,"Solid fossil fuels",NULL,GWh,168662346.000
2018,Europe,Exports,"Solid fossil fuels",NULL,GWh,149250401.000
2019,Europe,Exports,"Solid fossil fuels",NULL,GWh,145951504.000
2020,Europe,Exports,"Solid fossil fuels",NULL,GWh,146406334.000
2021,Europe,Exports,"Solid fossil fuels",NULL,GWh,165429245.000
2022,Europe,Exports,"Solid fossil fuels",NULL,GWh,153264260.000
2000,France,Exports,"Solid fossil fuels",NULL,GWh,6279444.000
2001,France,Exports,"Solid fossil fuels",NULL,GWh,5385000.000
2002,France,Exports,"Solid fossil fuels",NULL,GWh,3718333.000
2003,France,Exports,"Solid fossil fuels",NULL,GWh,3886528.000
2004,France,Exports,"Solid fossil fuels",NULL,GWh,7333750.000
2005,France,Exports,"Solid fossil fuels",NULL,GWh,7163750.000
2006,France,Exports,"Solid fossil fuels",NULL,GWh,6488750.000
